JDAY ['200 cfs']
JDAY ['500 cfs']
RESERVOIR STAGE ['02-01', 'HIGH']
RESERVOIR STAGE ['03-01', 'HIGH']
RESERVOIR STAGE ['04-01', 'HIGH']
RESERVOIR STAGE ['05-01', 'HIGH']
RESERVOIR STAGE ['10-01', 'HIGH']
RESERVOIR STAGE ['LOW', 'HIGH']
STREAM VOLUME, ADJUSTED ['01-01', '01-31']
STREAM VOLUME, ADJUSTED ['01-01', '05-31']
STREAM VOLUME, ADJUSTED ['01-01', '06-30']
STREAM VOLUME, ADJUSTED ['01-16', '05-31']
STREAM VOLUME, ADJUSTED ['01-16', '06-30']
STREAM VOLUME, ADJUSTED ['02-01', '02-29']
STREAM VOLUME, ADJUSTED ['02-01', '05-31']
STREAM VOLUME, ADJUSTED ['02-01', '06-30']
STREAM VOLUME, ADJUSTED ['02-01', '07-31']
STREAM VOLUME, ADJUSTED ['02-01', '09-30']
STREAM VOLUME, ADJUSTED ['02-16', '05-31']
STREAM VOLUME, ADJUSTED ['02-16', '06-30']
STREAM VOLUME, ADJUSTED ['03-01', '03-31']
STREAM VOLUME, ADJUSTED ['03-01', '05-31']
STREAM VOLUME, ADJUSTED ['03-01', '06-30']
STREAM VOLUME, ADJUSTED ['03-01', '07-31']
STREAM VOLUME, ADJUSTED ['03-01', '08-31']
STREAM VOLUME, ADJUSTED ['03-01', '09-30']
STREAM VOLUME, ADJUSTED ['03-16', '05-31']
STREAM VOLUME, ADJUSTED ['03-16', '06-30']
STREAM VOLUME, ADJUSTED ['04-01', '04-30']
STREAM VOLUME, ADJUSTED ['04-01', '05-31']
STREAM VOLUME, ADJUSTED ['04-01', '06-30']
STREAM VOLUME, ADJUSTED ['04-01', '07-31']
STREAM VOLUME, ADJUSTED ['04-01', '08-31']
STREAM VOLUME, ADJUSTED ['04-01', '09-30']
STREAM VOLUME, ADJUSTED ['05-01', '06-30']
STREAM VOLUME, ADJUSTED ['05-01', '07-31']
STREAM VOLUME, ADJUSTED ['05-01', '08-31']
STREAM VOLUME, ADJUSTED ['05-01', '09-30']
STREAM VOLUME, ADJUSTED ['06-01', '06-30']
STREAM VOLUME, ADJUSTED ['06-01', '07-31']
STREAM VOLUME, ADJUSTED ['06-01', '08-31']
STREAM VOLUME, ADJUSTED ['06-01', '09-30']
STREAM VOLUME, ADJUSTED ['LOW', 'HIGH']
